cell,insample_r2,model_oos_r2,baseline_oos_r2,model_oos_r,baseline_oos_r
0.000000,0.956938,-0.749584,-0.754995,0.848888,0.847911
1.000000,0.954281,-0.067913,-0.141806,0.848865,0.842186
2.000000,0.951301,-5.124650,-5.874865,-0.154823,-0.181060
3.000000,0.961738,0.159301,0.201383,0.856412,0.886212
4.000000,0.954974,0.654685,0.652996,0.867007,0.868857
5.000000,0.955048,0.826954,0.843119,0.920630,0.931500
6.000000,0.957148,0.683851,0.703317,0.850769,0.862670
7.000000,0.960133,-0.810485,-0.768258,0.844992,0.874785
8.000000,0.961904,0.133884,0.191378,0.873718,0.909048
9.000000,0.938260,0.109215,-0.061089,0.853058,0.785915
10.000000,0.947735,0.751590,0.712139,0.949563,0.931830
11.000000,0.953283,0.831969,0.834076,0.925991,0.930078
12.000000,0.937699,-2.052169,-2.481569,0.763410,0.717342
