param,type,r2,anti,recov,dR2
A_fast,M,0.3481358770837374,18.48232169811486,0.9867060680579812,0.21479841976822622
A_sc,M,0.41983693695972474,0.0,2.522105071165403,0.14309735989223887
g_a,M,0.4548017232899977,0.0,2.902748977671541,0.10813257356196593
g_T,M,0.45595637661501454,0.0,1.1668788395073317,0.10697792023694908
SC gate,M,0.46081924824917025,4.667175088261288,2.212302729701668,0.10211504860279336
I_HD,M,0.5118843830029689,0.0,8.044979776884631,0.05104991384899471
mg_conc,F,0.5557206517434596,0.0,1.8775927979907558,0.007213645108503974
tau_sc_off,F,0.5577279744920145,0.0,1.8447794182110593,0.0052063223599491115
(none) full model,-,0.5629342968519636,0.0,1.93276508670965,0.0
fc_stim_duration,F,0.567105365324734,0.0,1.9247876723928496,-0.004171068472770378
E_Ca,F,0.5707270158376934,0.0,1.8525583657461315,-0.007792718985729752
I_baseline,M,0.5751098320479363,0.0,1.8260453149807743,-0.012175535195972698
sc_delay,F,0.5874599627642396,0.0,1.9116313055901861,-0.024525665912276007
tau_E,F,0.58782388918539,0.0,1.859318806225061,-0.024889592333426358
tau_dend,F,0.5882482342735127,0.0,1.8000377279656334,-0.025313937421549082
tau_sc_on,F,0.5938309305295227,0.0,2.1389740102548616,-0.030896633677559127
V_half_T,F,0.5967400930431106,0.0,1.8222446190372,-0.033805796191146986
tau_hT,F,0.597171328372903,0.0,2.0341291810345954,-0.034237031520939376
k_T,F,0.6005512545572183,0.0,1.7849934240899952,-0.03761695770525464
stim_delay,F,0.6354915320070854,0.0,1.8587602059583748,-0.0725572351551218
