param,type,r2,anti,offlobe,fwhm600,pd600,valid,dR2
W_IE,M,-5.870370106980001,0.0,0.879398817095601,0.88,0.0,False,6.79174567906519
W_EI,M,-5.870370106980001,0.0,0.879398817095601,0.88,0.0,False,6.79174567906519
W_GLOBAL,M,-1.7067432945637968,0.0,0.0,0.28,0.7571407254245287,False,2.628118866648985
I_HD,M,-0.8671766567251191,40.95349033773835,0.8911288916490206,1.2,0.7043664179352337,False,1.7885522288103073
J1,M,-0.03670779389393619,0.0,0.0,0.92,1.1136301736940915,True,0.9580833659791244
A_fast,M,0.3385664595401323,0.0,0.0,0.84,1.0345406534731074,False,0.5828091125450559
A_sc,M,0.3641357258665263,0.0,0.0,0.76,1.164180988179299,True,0.5572398462186618
I_baseline,M,0.6189137217639085,0.0,0.031895293485534375,0.6,0.9644871222947006,False,0.3024618503212797
g_a,M,0.6359323314811214,0.0,0.0015251602537294507,1.24,1.0971742492485674,False,0.2854432406040668
E_Ca,F,0.7282837966425633,0.0,0.0,0.84,1.02687272165029,False,0.1930917754426249
g_T,M,0.7464606539194897,0.0,0.0,0.52,0.9667055618956073,False,0.17491491816569849
V_half_T,F,0.7561745050261217,0.0,0.0,0.84,1.067459650380182,False,0.16520106705906645
w_sc,F,0.8288390123375584,0.0,0.0,0.84,1.0714765944975064,True,0.09253655974762975
KAPPA_I,F,0.8336339637785039,0.0,0.038674910849048394,0.84,1.113195782946249,True,0.08774160830668432
tau_h_off,F,0.8377414651967824,0.0,0.0,0.84,1.0848120674243809,True,0.08363410688840578
sc_delay,F,0.8392426353859647,0.0,0.0,0.84,1.085244547479807,True,0.0821329366992235
tau_h_on,F,0.8454130780017535,0.0,0.04457756258294609,0.84,1.0946132293613677,True,0.0759624940834347
tau_sc_on,F,0.8471380438663795,0.0,0.0,0.84,1.0889225481972868,True,0.07423752821880869
k_T,F,0.8482401308516012,0.0,0.0,0.84,1.081468229189272,True,0.07313544123358695
tau_scg,F,0.8497931243623673,0.0,0.0,0.84,1.0474638777650613,True,0.07158244772282085
g_h,M,0.8500888550737967,0.0,0.0,0.84,1.0923316266161949,True,0.07128671701139144
V_half_h,F,0.8508573825677074,0.0,0.0,0.84,1.0262569107021693,True,0.07051818951748079
KAPPA_E,F,0.8543656531688081,0.0,0.0,0.84,1.0934036971460133,True,0.06700991891638008
tau_sc_off2,F,0.8547995376291638,0.0,0.0,0.84,1.0987750102068412,True,0.06657603445602434
reversal_potential,F,0.8578163234885894,0.0,0.0,0.84,1.0488508871095081,True,0.06355924859659878
tau_sc_off,F,0.8584151262785318,0.0,0.0,0.84,1.091461010763077,True,0.06296044580665638
fc_stim_duration,F,0.8586715505012439,0.0,0.0,0.84,1.0792869660906013,True,0.06270402158394428
tau_hT,F,0.8622264852166492,0.0,0.0,0.84,1.058554441147555,True,0.059149086868538925
tau_E,F,0.8626221150312778,0.0,0.0,0.92,1.0408333112112176,True,0.05875345705391033
tau_I,F,0.869144706179492,0.0,0.0,0.84,1.094842475337509,True,0.052230865905696144
tau_a,F,0.8766966699579891,0.0,0.0,0.84,1.0624745236686108,True,0.04467890212719905
stim_delay,F,0.8797840192910659,0.0,0.0,0.84,1.023427833601823,True,0.0415915527941223
(none) full model,-,0.9213755720851882,0.0,0.0,0.92,1.0843457926152422,True,0.0
