param,r,cv
V_half_T,0.7232861007965508,0.5046352449712973
stim_delay,0.5806198039245084,0.27566510108634507
fc_stim_duration,0.522079022163253,0.39671107243028536
A_fast,0.4700120303670582,0.5390701109851254
g_T,0.4073295714396338,0.8650815300899283
I_HD,0.4062531132009816,0.5633300497102542
tau_E,0.396295247327621,0.4215591859529528
A_sc,0.35534697220669087,0.540556527194329
k_T,0.311988718994394,0.20636673749770632
sc_delay,0.24341125326493468,0.8618560777730467
tau_hT,0.22016845271794477,0.4698000217828546
E_Ca,0.1951528931398819,0.2700143106462292
tau_scg,0.19412666244353663,0.6276555420022746
g_a,0.16143126808161845,0.20894389965925472
tau_sc_off,0.15846418923581776,0.4554913757942581
tau_h_on,0.15026190395475164,0.39862611836838924
V_half_h,0.13249163928346186,0.48793430546757316
g_h,0.1013661693166121,0.5920887118319513
tau_h_off,0.028845971179926152,0.30044881612627783
w_sc,0.017918949603263172,0.5417234458985258
tau_sc_on,0.013936605747302494,0.5154345296059882
tau_sc_off2,-0.038660112710355535,0.5553997886519297
I_baseline,-0.07933146432007919,0.3648707176414139
reversal_potential,-0.1343662892668255,0.22067989953404513
